Full Name,Nurse Number,Nurse Type,Pay,1(Monday),2(Monday),3(Monday),4(Tuesday),5(Tuesday),6(Tuesday),7(Wednesday),8(Wednesday),9(Wednesday),10(Thursday),11(Thursday),12(Thursday),13(Friday),14(Friday),15(Friday),16(Saturday),17(Saturday),18(Saturday),19(Sunday),20(Sunday),21(Sunday),22(Monday),23(Monday),24(Monday),25(Tuesday),26(Tuesday),27(Tuesday),28(Wednesday),29(Wednesday),30(Wednesday),31(Thursday),32(Thursday),33(Thursday),34(Friday),35(Friday),36(Friday),37(Saturday),38(Saturday),39(Saturday),40(Sunday),41(Sunday),42(Sunday)
Jody Jackie,1,Occupational Health Nursing,73000,1,0,2,1,0,0,1,1,1,2,2,2,2,0,1,2,2,2,1,0,1,1,1,0,1,1,2,2,1,2,1,1,2,2,0,1,2,1,0,0,0,1
Mariah Marquise,1,Emergency Nursing,82000,0,2,1,1,0,0,2,1,1,1,2,0,2,2,2,2,1,1,2,1,1,2,0,1,1,0,2,0,1,0,1,2,1,0,1,2,1,1,1,0,2,1
Harmon Delmas,1,Health Informatics,95000,1,1,0,2,2,2,2,2,2,0,2,2,0,0,0,0,2,0,0,0,1,2,0,0,2,2,2,2,0,1,0,2,1,1,2,2,0,0,0,1,2,0
Jeannie Oscar,1,Nursing Management,93000,2,1,2,2,1,0,0,2,2,0,0,0,2,1,0,1,2,1,1,1,2,1,0,0,2,2,1,2,0,0,0,1,2,2,0,1,2,2,0,0,1,0
Gavin Margarito,1,Licensed Practical Nurse,60000,0,1,2,1,1,2,2,1,0,2,2,2,1,0,0,2,0,0,0,2,2,0,2,0,1,1,2,1,2,2,0,0,1,0,2,2,2,1,0,2,2,2
Allie Rena,1,Mental Health Nursing,72000,1,2,0,0,1,1,2,2,1,0,1,2,0,1,0,1,2,0,0,2,0,2,2,0,2,0,2,0,0,2,1,1,1,1,0,1,0,0,0,0,1,2
Madeline Evalyn,1,Nurse Anesthetist,160000,1,2,1,1,1,1,0,2,0,0,0,2,1,2,2,1,1,2,2,2,2,2,1,0,0,0,2,0,0,2,0,0,2,1,1,1,2,0,0,0,1,1
Enola Lucretia,1,Labor and Delivery Nurse,90000,0,2,1,0,0,0,0,1,2,2,1,0,2,2,0,0,2,2,2,2,1,0,0,0,0,0,1,1,2,2,0,1,0,2,2,1,2,2,0,0,0,1
Reynaldo Maggie,1,Nurse Midwife,91000,2,0,1,2,0,0,0,1,2,0,1,0,0,0,1,2,2,0,2,1,0,1,2,2,1,1,2,2,2,0,1,0,0,2,2,2,1,1,1,0,2,0
Deidre Elvina,1,Nursing Assistant,40000,0,0,1,2,2,2,2,1,2,1,1,2,2,1,1,2,2,0,0,0,2,1,1,2,0,2,2,1,2,0,0,0,1,2,1,0,2,2,1,0,1,0
Una Jerrie,1,Licensed Practical Nurse,60000,2,0,0,2,0,2,2,2,2,1,1,0,1,0,1,2,0,2,1,1,2,0,0,1,1,1,0,2,2,2,2,1,1,1,0,2,0,0,0,1,2,0
Hildur Louella,1,Licensed Practical Nurse,60000,2,0,0,2,1,0,0,1,2,0,1,0,0,2,1,2,0,0,2,1,2,2,0,0,1,0,2,1,0,1,2,1,0,0,0,1,2,0,2,1,0,2
Mckinley Norma,1,Mental Health Nursing,72000,0,2,0,2,0,2,0,1,0,2,2,1,1,1,2,1,0,1,2,1,2,0,1,2,0,0,2,2,0,1,0,2,0,2,0,0,1,2,0,1,0,1
Virginia Ray,1,Nurse Anesthetist,160000,2,0,2,1,1,2,2,1,0,2,1,2,1,2,1,0,0,0,1,2,1,1,0,1,1,2,0,2,0,0,0,1,2,2,0,0,0,1,2,0,0,1
Maggie Geraldine,1,Emergency Nursing,82000,2,2,2,0,0,1,0,1,2,2,1,2,0,2,2,1,1,0,2,0,2,2,2,1,0,2,1,2,0,0,1,1,0,0,1,1,2,2,2,1,2,0
Isaiah Darwin,1,Dialysis Nurse,74000,1,2,1,2,0,2,0,0,0,1,1,0,1,2,2,0,1,2,2,0,0,0,0,2,1,2,2,2,2,0,2,0,0,2,2,0,2,0,2,0,0,0
Jereme Mervin,1,Public Health Nurse,65000,2,2,2,2,1,2,2,1,0,1,0,0,2,0,1,1,1,0,2,1,0,2,2,0,1,0,0,1,0,0,2,2,1,1,2,2,1,1,0,0,2,0
Jule Lemuel,1,Cardiac Nursing,80000,2,1,2,2,1,0,1,2,1,2,0,2,1,0,1,0,0,0,2,0,2,2,2,0,2,1,1,1,1,0,1,1,0,2,0,2,0,1,0,2,1,0
Justine Sherwood,1,Nurse Anesthetist,160000,1,2,1,1,0,2,0,2,2,0,0,2,1,1,2,1,2,0,0,0,2,2,1,2,2,2,1,0,2,1,0,1,1,1,2,1,1,1,2,0,0,1
Joyce Minnie,1,Nursing Assistant,40000,1,0,2,0,0,1,0,0,2,0,1,2,0,1,2,1,0,2,1,2,0,0,1,0,1,0,2,0,1,2,1,1,2,0,1,1,0,0,0,0,1,2
Ismael Dora,1,Nursing Management,93000,1,1,2,1,1,0,1,2,0,2,1,0,2,2,0,2,2,0,1,1,0,2,1,2,0,0,2,0,2,2,2,0,0,2,1,1,0,2,1,0,1,0
Millicent Kieran,1,Nurse Anesthetist,160000,0,1,2,2,2,0,2,2,1,1,2,1,0,0,0,2,2,2,0,0,1,1,2,2,0,1,1,0,2,0,1,0,2,2,1,2,0,1,1,1,2,0
Marie Rodolfo,1,Emergency Nursing,82000,1,0,1,2,1,1,0,0,2,1,1,2,2,0,2,2,0,2,1,2,0,1,2,1,0,2,0,1,1,1,1,2,1,1,0,0,0,2,0,1,2,1
Berdie Dewayne,1,Public Health Nurse,65000,0,1,1,2,2,0,2,0,0,0,2,1,0,0,1,1,0,1,1,0,1,0,2,1,1,1,1,1,2,0,1,1,0,2,1,2,1,2,1,2,0,1
Curley Thurman,1,Labor and Delivery Nurse,90000,0,2,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,2,1,1,0,1,0,2,2,2,0,1,0,2,2,1,0,0,2,1,0,1
Reinhold Jamarcus,1,Critical Care Nurse,85000,2,1,2,0,0,1,2,2,2,0,1,0,0,1,1,1,2,1,1,2,1,2,0,1,1,0,0,1,0,2,0,2,1,0,0,1,1,2,2,0,1,0
Jefferson Johnny,1,Clinical Nurse Specialist,97000,1,2,1,0,1,2,2,0,1,2,2,1,0,1,0,0,0,2,1,0,0,0,1,0,2,2,2,1,1,2,0,0,2,2,1,0,2,0,1,0,0,2
Anna Okey,1,Occupational Health Nursing,73000,0,2,0,1,0,2,0,1,2,0,2,1,0,0,2,2,2,0,2,2,1,0,1,2,2,2,1,0,1,2,2,1,1,1,1,2,1,1,1,0,0,1
Phyllis Dominik,1,Nursing Assistant,40000,1,0,0,1,0,0,1,2,0,2,2,0,1,1,1,1,2,0,0,0,0,1,0,2,1,1,1,0,2,2,2,0,0,2,2,0,2,0,2,1,0,2
Rufus Charley,1,Critical Care Nurse,85000,2,2,0,1,2,1,2,2,2,2,0,0,2,0,0,2,0,2,0,1,1,1,1,2,0,2,1,1,1,0,2,2,0,0,0,0,2,0,2,2,0,1
Theron Sibyl,1,Public Health Nurse,65000,2,1,0,1,2,2,1,0,1,1,1,2,0,0,1,2,0,1,2,2,1,0,0,2,2,1,0,2,0,0,1,2,1,1,2,0,2,0,2,1,0,0
Dexter Margarita,1,Licensed Practical Nurse,60000,2,2,2,2,2,1,0,1,0,2,2,1,1,2,1,1,2,2,0,1,2,0,1,0,2,2,1,1,1,0,0,2,0,2,1,0,0,0,1,1,1,0
Tessa Selena,1,Critical Care Nurse,85000,2,1,0,2,1,2,2,0,1,1,2,1,0,2,2,0,1,2,0,1,1,1,2,0,1,0,1,0,2,0,0,1,2,0,0,1,1,1,1,0,2,0
Kerry Leopoldo,1,Nurse Anesthetist,160000,1,0,0,0,2,0,1,1,2,2,0,2,0,2,1,1,2,1,1,1,1,2,1,2,1,0,2,0,0,0,1,0,2,2,2,0,1,0,2,0,2,1
Nathanael Elmer,1,Licensed Practical Nurse,60000,0,0,1,2,1,2,2,0,0,2,1,0,1,2,0,2,2,0,0,2,0,1,1,0,2,1,0,1,0,1,0,2,1,2,2,2,2,0,1,1,2,0
Tinie Booker,1,Mental Health Nursing,72000,0,1,2,1,0,2,1,2,2,0,0,1,1,0,1,1,2,0,1,0,2,2,1,2,2,2,0,0,1,0,2,0,0,2,1,0,0,1,0,2,0,0
Kelley Virgle,1,Surgical Nurse,78000,1,1,0,0,1,2,0,1,0,0,1,1,2,1,1,1,0,0,2,1,2,2,1,2,1,2,1,2,1,0,1,2,2,1,1,1,0,0,2,0,2,0
Hazel Doc,1,Nursing Management,93000,0,1,2,1,1,2,1,0,2,2,0,1,1,2,0,1,1,0,0,0,2,2,1,1,1,2,2,0,1,0,1,1,0,1,1,2,2,1,2,0,0,0
Raquel Marylou,1,Cardiac Nursing,80000,1,2,2,0,0,0,1,0,0,0,1,1,2,0,0,1,0,2,1,0,2,1,1,1,1,2,1,2,2,0,0,0,2,0,0,1,0,0,0,1,0,0
Adelaide Dosia,1,Public Health Nurse,65000,2,1,2,1,2,2,0,0,0,1,2,0,2,1,1,0,2,0,1,0,0,1,2,1,1,1,2,0,0,1,0,0,0,0,2,1,2,0,0,0,0,2
Theodore Tommy,1,Registered Nurse,75000,0,1,0,0,0,1,0,1,0,2,1,1,1,2,2,1,0,2,1,1,0,0,2,1,0,1,0,1,2,0,0,0,2,2,2,1,1,2,1,1,2,2
Murry Miller,1,Occupational Health Nursing,73000,2,0,2,1,1,0,2,1,0,0,2,0,0,0,0,2,0,2,0,1,1,0,1,2,2,0,0,1,1,0,1,2,0,2,1,2,0,1,2,0,0,1
Cecelia Rebecca,1,Nursing Assistant,40000,1,2,1,0,2,1,1,2,1,0,2,0,0,1,1,1,2,0,0,1,2,0,1,0,1,2,2,1,2,1,2,1,2,0,0,2,0,0,2,2,1,1
Salina Olaf,1,Emergency Nursing,82000,2,0,0,2,0,1,2,1,1,2,0,2,1,1,1,1,1,2,1,0,2,2,2,1,2,2,2,1,2,2,0,1,0,1,0,2,1,2,1,1,1,2
Wendell Kori,1,Labor and Delivery Nurse,90000,2,0,1,2,1,1,1,1,2,0,1,2,1,1,0,1,1,1,0,2,1,2,0,2,1,1,2,2,1,0,1,1,1,2,2,0,0,2,1,0,1,0
Kittie Percival,1,Nursing Assistant,40000,0,1,0,1,0,0,2,1,2,0,2,0,0,1,2,1,0,1,0,2,1,2,1,0,0,1,2,2,2,1,2,0,1,2,2,2,1,1,0,1,2,1
Christopher Leland,1,Nurse Educator,70000,2,2,2,2,2,1,2,1,1,0,0,0,2,0,1,1,1,2,1,2,0,0,1,2,2,1,1,2,1,2,1,1,1,0,2,2,0,0,2,1,0,2
Brian Elisabeth,1,Nurse Educator,70000,1,0,2,0,1,2,1,1,0,1,0,2,0,1,0,2,1,2,2,2,0,0,0,2,1,2,1,1,0,1,0,2,0,0,2,2,2,1,2,1,1,2
Malcolm Norval,1,Critical Care Nurse,85000,1,1,1,2,1,1,2,1,1,1,0,2,1,0,2,1,2,2,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Lelia Tiffany,1,Health Informatics,95000,1,2,1,2,1,1,2,1,2,0,0,2,0,1,2,2,2,2,1,0,2,2,2,0,1,1,0,1,1,2,1,1,2,2,1,2,2,0,2,0,2,0
Zada Morton,1,Clinical Nurse Specialist,97000,0,0,0,1,1,1,0,0,2,1,2,1,2,2,0,2,0,1,0,0,2,1,1,2,1,2,2,2,0,1,0,0,2,0,2,2,1,2,2,1,1,0
Shelby Nona,1,Gerontological Nursing,72000,2,2,2,0,1,2,2,2,1,1,0,2,1,0,0,0,0,0,0,0,1,2,1,1,1,1,2,0,0,2,1,0,1,0,1,0,0,1,2,2,1,1
Ilene Latosha,1,Public Health Nurse,65000,1,2,1,2,1,2,1,2,1,2,0,2,1,2,1,2,2,1,2,2,2,0,1,2,2,1,2,0,0,2,0,0,2,1,1,2,2,0,2,0,0,0
Catalina Carissa,1,Health Informatics,95000,2,1,2,0,2,1,2,2,0,2,2,1,2,2,0,1,0,0,1,1,2,2,0,2,0,0,2,0,0,1,2,1,0,0,2,2,1,1,2,1,0,0
Frederick Tara,1,Clinical Nurse Specialist,97000,0,0,2,0,0,2,2,1,0,0,1,1,1,0,0,1,1,2,0,0,1,2,2,0,0,1,2,2,1,2,2,2,1,2,0,1,1,1,1,0,1,2
Ada Parker,1,Registered Nurse,75000,1,0,1,0,2,1,0,2,0,1,1,1,1,2,1,0,2,2,2,0,0,2,0,0,0,2,1,0,1,1,1,0,0,0,1,1,1,1,1,2,2,1
Norris Noreen,1,Nurse Midwife,91000,2,0,1,1,2,2,2,0,0,2,0,0,0,1,2,0,0,0,2,2,1,0,1,2,1,0,1,0,0,0,2,0,1,2,2,1,0,2,0,0,2,0
Myrtice Julie,1,Critical Care Nurse,85000,0,1,2,1,2,1,2,1,1,2,1,0,1,0,2,2,0,2,2,1,0,0,2,2,2,2,0,0,2,0,2,0,2,2,0,2,2,2,2,1,2,1
Jessie Araminta,1,Gerontological Nursing,72000,2,2,1,0,1,0,2,1,1,1,2,1,0,2,1,2,1,1,1,1,0,2,0,0,0,1,2,0,0,2,2,1,2,2,1,0,2,1,1,0,0,2
Lorine Carolina,1,Occupational Health Nursing,73000,2,2,1,0,1,0,0,2,0,2,1,2,0,2,0,1,1,2,0,2,1,1,1,1,2,1,0,0,1,1,2,2,2,2,2,2,1,1,1,0,2,2
Rosanna Alphonsus,1,Nursing Management,93000,1,1,2,0,0,1,1,1,1,2,1,2,2,2,1,2,2,2,0,1,0,2,1,1,0,0,1,2,1,2,0,1,0,0,1,2,1,0,0,0,0,2
Prudence Lenora,1,Nursing Assistant,40000,1,1,1,0,1,0,1,2,1,1,1,1,2,2,2,1,1,1,0,1,1,1,0,1,0,1,2,1,2,1,2,1,0,2,0,0,0,0,0,2,2,0
Karla Carroll,1,Neonatal Nurse,88000,0,1,2,1,1,2,2,2,2,0,0,0,1,0,2,1,0,2,1,2,1,0,0,0,1,0,0,0,1,2,2,0,0,1,0,2,0,0,0,0,2,1
Ali Patrick,1,Nurse Midwife,91000,1,1,2,1,0,1,0,0,2,0,1,0,0,2,1,1,1,2,2,0,0,0,2,1,1,1,0,1,0,0,0,2,2,1,0,0,2,0,1,1,1,0
Fredrick Vernie,1,Labor and Delivery Nurse,90000,2,0,2,1,0,2,0,0,2,0,2,1,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,2,2,1,1,2,2,0,0,1,1,0,2,1,0,2
Ally Dino,1,Nurse Midwife,91000,0,0,1,1,1,1,2,0,1,1,0,2,0,1,0,2,0,2,0,1,2,2,0,1,1,0,0,0,2,2,1,1,1,1,1,1,1,1,0,0,1,0
Jesus Brett,1,Mental Health Nursing,72000,2,0,0,0,2,0,2,1,0,1,1,2,1,2,2,2,0,2,0,0,1,1,1,0,0,0,1,2,0,2,2,2,2,2,0,0,1,1,0,2,2,2
Alfred Coleman,1,Gerontological Nursing,72000,0,2,1,2,0,1,1,2,1,0,0,2,0,0,0,1,0,0,1,1,0,0,1,0,2,0,0,2,1,1,0,1,2,2,0,1,0,1,0,2,1,1
Jane Dolly,1,Nursing Management,93000,2,1,1,2,0,2,1,2,1,1,1,2,0,0,1,2,1,1,2,1,1,0,1,2,2,2,0,2,2,2,2,0,0,1,2,0,0,0,2,0,2,2
Nedra Elda,1,Gerontological Nursing,72000,1,2,0,2,2,1,0,0,1,0,1,0,0,2,0,0,0,0,2,1,0,2,0,2,0,0,2,2,1,2,1,1,1,0,0,1,2,0,2,2,2,2
Hilda Abbie,1,Nursing Management,93000,2,0,1,2,0,0,2,1,0,1,2,2,2,0,2,2,0,1,0,0,1,0,0,1,0,2,1,0,0,1,1,2,0,1,0,1,2,2,1,0,0,1
Dexter Delois,1,Cardiac Nursing,80000,0,0,0,2,0,1,2,0,2,1,0,0,1,2,0,1,2,0,1,1,1,1,2,0,0,0,2,2,0,2,1,2,0,0,2,0,2,1,2,2,0,1
Charity Charity,1,Mental Health Nursing,72000,1,0,0,1,2,2,2,1,1,0,0,2,1,1,0,0,0,1,1,0,0,0,1,2,1,0,2,0,2,1,1,2,2,2,0,1,0,2,1,2,2,1
Donnell Braylen,1,Mental Health Nursing,72000,2,0,0,1,2,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,1,0,2,2,1,2,1,1,0,0,2,1,0,1,2,0,0,2,1,2,0
Joy Ina,1,Critical Care Nurse,85000,1,2,2,1,2,2,1,2,1,1,0,0,1,2,2,0,1,0,2,0,1,1,0,0,2,1,0,1,1,2,1,2,0,1,2,0,2,1,2,1,1,1
Brook Domingo,1,Licensed Practical Nurse,60000,0,1,1,0,1,2,2,1,1,1,0,2,2,2,0,2,0,2,1,1,2,1,0,2,0,1,0,1,2,0,1,2,1,1,0,1,1,1,1,2,0,0
Virgil Aida,1,Nurse Practitioner,100000,0,1,0,0,1,0,2,2,1,1,0,2,0,1,2,1,1,1,2,1,0,2,2,1,1,2,1,2,2,2,0,0,1,2,2,2,2,2,1,1,0,1
Shelly Vernon,1,Critical Care Nurse,85000,0,1,0,0,1,0,0,1,2,0,1,2,2,1,0,0,2,1,1,0,0,1,2,0,2,1,0,2,2,1,1,2,1,1,1,1,2,1,1,0,1,2
Juliette Ellsworth,1,Occupational Health Nursing,73000,2,2,2,1,2,1,0,1,1,0,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,2,1,0,2,0,1,1,0,2,2,2,1,0,2,0,0,2
Ferman Angelia,1,Pediatric Nursing,68000,0,0,1,0,2,2,2,1,0,0,0,0,2,1,2,1,0,0,0,1,1,0,1,0,1,2,2,1,1,2,1,1,0,1,2,2,2,1,2,1,1,2
Mitchell Dorothy,1,Occupational Health Nursing,73000,2,2,1,0,1,2,2,2,2,1,2,1,0,2,1,1,1,2,1,2,2,0,1,2,0,1,0,1,1,1,1,2,2,1,1,1,1,1,0,0,2,0
Wheeler Donta,1,Health Informatics,95000,1,0,0,2,1,1,0,2,1,0,0,2,1,1,0,0,2,2,2,2,0,0,1,0,0,2,0,0,2,2,0,2,2,2,0,2,1,2,2,1,1,1
Abel Sebastian,1,Licensed Practical Nurse,60000,1,2,2,0,1,2,2,1,1,2,2,0,2,0,0,2,1,2,0,2,2,0,2,1,1,2,2,0,0,1,1,0,1,1,1,0,0,1,2,0,2,0
Fletcher Missouri,1,Pediatric Nursing,68000,0,2,2,1,2,1,1,0,2,2,0,0,2,0,0,1,2,1,2,2,0,0,0,0,1,0,0,2,2,1,1,0,1,0,1,2,0,0,2,1,1,0
Brennon Isabelle,1,Nurse Anesthetist,160000,2,1,2,2,0,2,2,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,2,2,2,2,1,1,2,2,0,1,1,0,2,1,0,0,0,2,2,1
Amelia Corey,1,Nursing Assistant,40000,1,1,1,1,2,0,0,1,1,0,2,2,1,0,0,2,0,2,1,1,2,0,1,0,1,1,0,1,1,1,0,2,2,2,2,1,1,2,0,2,2,1
Carlo Jarred,1,Registered Nurse,75000,0,1,0,2,0,2,2,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,2,2,2,2,2,1,1,1,0,0,1,1,0,2,2,1,0,0,0,2
Lamar Bart,1,Licensed Practical Nurse,60000,1,0,0,2,0,0,1,1,1,0,2,1,2,0,0,1,2,0,1,1,0,0,2,0,0,2,1,2,0,1,1,1,0,2,1,2,2,2,0,1,1,1
Millard Vance,1,Emergency Nursing,82000,1,0,1,1,0,2,1,2,2,1,2,0,1,0,2,2,1,0,2,0,0,2,0,0,0,1,0,2,1,0,2,0,2,0,2,1,2,2,1,1,2,1
Hortense Sydney,1,Registered Nurse,75000,1,1,0,2,2,0,1,2,1,0,1,0,2,0,1,1,2,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,2,2,2,1,2,0,2,1
Caroline Taryn,1,Clinical Nurse Specialist,97000,0,2,0,2,2,1,1,0,0,2,2,2,2,1,1,1,2,0,1,1,0,1,2,0,1,2,2,0,0,1,0,1,2,1,2,1,0,0,1,1,0,2
Sylvia Wanda,1,Labor and Delivery Nurse,90000,1,2,1,2,1,1,0,2,2,1,0,2,2,2,2,1,0,1,0,2,1,1,2,2,2,0,1,0,1,0,0,1,1,2,1,2,1,2,0,2,2,1
Nickolas Edythe,1,Occupational Health Nursing,73000,0,0,0,2,1,1,0,2,0,1,2,2,2,2,2,1,2,0,1,1,1,0,0,1,0,0,1,0,2,2,0,0,1,1,2,1,2,0,0,1,0,2
Dolores Elwood,1,Labor and Delivery Nurse,90000,1,1,0,1,1,0,0,0,2,0,0,2,0,1,1,0,2,2,1,1,0,1,0,1,2,2,2,2,0,0,0,0,2,2,2,2,1,2,2,0,0,1
Emma Tristen,1,Nurse Practitioner,100000,0,2,2,2,2,1,2,0,2,2,2,1,1,0,2,2,1,0,2,1,1,2,0,2,2,2,0,0,2,0,1,0,1,0,2,2,0,1,2,0,1,1
Joann Kylie,1,Labor and Delivery Nurse,90000,1,2,2,0,0,2,2,2,2,1,1,1,1,0,1,1,0,1,1,0,2,1,0,2,0,1,0,2,1,1,2,0,1,1,2,1,2,0,0,2,1,2
Timothy Ted,1,Gerontological Nursing,72000,0,2,1,0,0,0,1,0,2,0,0,1,0,2,0,0,2,1,1,0,1,1,0,1,0,0,0,0,0,2,0,2,1,1,1,0,0,1,2,1,1,2
Marnie Armando,1,Nursing Assistant,40000,2,0,1,2,0,0,0,1,0,1,1,0,2,0,0,2,2,0,1,0,2,1,0,1,2,0,1,0,1,0,0,2,0,1,1,1,0,0,1,2,1,0
Eddy Arielle,1,Emergency Nursing,82000,0,1,1,2,2,2,1,1,2,1,2,2,1,0,1,2,1,2,0,1,2,2,0,2,2,1,0,1,1,2,2,1,1,1,2,0,1,2,1,1,1,1
Holly Gianni,1,Registered Nurse,75000,2,0,0,0,2,0,0,0,2,2,1,0,2,1,0,0,0,2,2,2,1,2,2,1,0,0,1,2,2,1,2,1,0,0,0,1,2,2,1,0,2,0
Meyer Harvey,1,Clinical Nurse Specialist,97000,0,0,1,2,0,0,0,0,1,1,0,2,1,0,0,2,2,2,2,2,1,2,1,2,0,1,2,0,1,2,2,0,0,2,1,0,0,2,2,2,0,2
Bertram Vivian,1,Nurse Anesthetist,160000,1,2,2,1,0,2,1,0,1,2,2,2,2,2,1,0,1,2,0,1,2,0,1,1,1,2,2,2,1,2,2,2,2,1,1,0,2,2,1,1,2,2
Kristoffer Carmelo,1,Surgical Nurse,78000,0,2,0,2,1,2,0,2,2,2,0,0,0,2,0,0,1,1,2,0,2,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,1,0,2,2,1,0
Betty Susana,1,Dialysis Nurse,74000,0,2,0,1,0,2,1,1,1,1,1,2,0,0,1,1,0,1,2,0,0,2,0,0,1,1,1,2,1,0,0,1,0,0,1,2,0,0,1,2,1,0
Lakisha Lora,1,Health Informatics,95000,2,0,0,0,2,0,0,0,2,2,0,2,1,1,2,2,0,1,1,1,2,1,2,1,0,2,0,2,1,0,2,0,0,0,2,2,0,2,2,0,1,0
Carmen Verlin,1,Mental Health Nursing,72000,0,1,0,0,0,2,2,0,1,1,0,0,0,2,2,0,1,1,0,1,1,2,0,0,1,2,2,1,0,2,2,1,2,2,0,0,0,1,1,1,2,2
Carmen Jewel,1,Nurse Educator,70000,0,0,2,2,2,0,0,1,1,0,2,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,2,0,2,1,2,0,2,1,2,0,1,0,0,2,0
Ferd Green,1,Public Health Nurse,65000,1,0,2,0,0,1,0,2,1,1,2,2,0,2,1,2,0,2,1,2,0,2,0,0,0,1,2,2,2,0,2,2,2,1,0,0,1,1,2,1,1,0
Alice Iva,1,Nursing Assistant,40000,0,1,1,0,1,0,2,2,0,2,2,2,0,2,1,0,0,1,2,0,0,2,2,1,0,2,0,2,2,0,1,0,2,2,2,0,1,1,0,2,0,0
Theresa Arlene,1,Gerontological Nursing,72000,0,2,2,0,2,1,0,2,0,2,1,1,0,1,1,2,2,1,1,1,0,0,1,2,0,2,2,0,1,0,2,1,1,2,0,1,1,2,2,0,1,0
Grady Fairy,1,Dialysis Nurse,74000,2,1,0,2,0,1,0,1,2,1,1,0,2,0,1,2,0,1,1,1,0,2,1,0,1,1,1,0,2,2,0,1,1,0,1,1,0,0,0,0,1,0
Yessenia Dawn,1,Labor and Delivery Nurse,90000,1,2,2,2,2,2,2,1,2,0,0,1,2,1,2,1,0,2,2,2,1,1,1,0,0,0,0,2,0,2,0,1,2,0,1,2,1,0,0,2,0,2
Melody West,1,Neonatal Nurse,88000,2,2,1,1,1,2,0,2,0,2,2,2,1,2,1,2,0,2,1,0,2,0,0,0,2,0,1,2,0,2,1,2,0,0,0,2,2,0,1,2,2,2
Solomon Caleb,1,Nursing Management,93000,2,1,0,2,2,0,0,2,1,2,0,1,1,2,0,0,1,2,2,0,0,1,0,2,0,0,1,0,0,1,0,2,2,1,0,0,2,2,1,2,0,0
Dottie Christena,1,Nurse Anesthetist,160000,1,2,1,2,2,2,1,0,0,2,1,0,0,2,0,1,1,2,2,0,2,1,0,0,0,2,2,0,2,0,0,2,2,1,0,0,2,2,0,1,0,2
Sheila Altie,1,Nurse Anesthetist,160000,0,2,2,2,1,2,0,1,1,1,1,1,2,0,2,0,2,1,2,2,1,0,0,0,0,1,1,1,0,1,1,2,2,1,0,0,0,1,0,2,2,1
Rhoda Felicia,1,Nurse Practitioner,100000,2,1,2,2,2,1,0,0,2,2,2,1,2,1,2,0,2,1,0,2,0,1,0,2,2,0,2,0,2,2,1,0,2,2,0,2,1,1,1,2,1,2
Laurie Avery,1,Occupational Health Nursing,73000,1,2,1,1,1,1,2,2,0,1,2,0,1,1,2,1,1,2,2,1,0,1,0,2,0,1,1,2,2,1,1,2,2,0,2,1,1,1,2,2,2,2
Ammie Lelia,1,Nurse Midwife,91000,2,0,1,2,2,0,2,1,0,2,0,2,2,1,1,0,1,1,2,0,1,0,0,2,2,0,2,1,0,0,0,1,1,0,0,0,2,1,2,0,2,1
Joanna Morris,1,Nursing Management,93000,1,0,1,0,1,2,2,0,1,1,0,1,0,0,0,1,2,0,1,2,2,2,0,1,1,2,2,0,2,2,0,2,1,0,1,1,2,1,0,2,2,2
Ella Clora,1,Nurse Anesthetist,160000,2,0,1,1,1,0,0,0,1,2,1,0,2,2,0,0,2,0,1,2,0,0,0,0,2,0,0,2,2,1,0,1,2,1,0,0,2,1,2,1,2,1
Janet Maverick,1,Registered Nurse,75000,2,1,1,2,2,0,0,0,1,0,1,0,1,2,1,1,2,1,0,1,1,2,1,2,0,2,0,1,1,1,2,1,0,2,2,0,0,1,2,2,1,1
Stevie Bernadette,1,Dialysis Nurse,74000,2,0,2,2,1,0,2,0,0,0,1,1,0,2,2,1,2,2,0,0,1,2,1,1,1,1,1,2,1,2,0,1,1,1,0,1,0,1,1,1,2,0
Lorena Esmeralda,1,Occupational Health Nursing,73000,1,1,1,1,1,2,0,0,1,0,1,0,2,2,1,2,0,0,0,2,2,1,2,1,2,2,0,2,2,2,1,0,0,2,1,1,2,1,1,0,2,0
Clarissa Ayden,1,Health Informatics,95000,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,2,1,2,1,1,0,2,0,0,0,0,2,0,2,1,1,0,1,2,0,2,2,1,0,0,0,0
Rebecca Gus,1,Health Informatics,95000,0,2,2,1,0,0,1,2,0,2,1,0,1,0,2,0,2,2,0,1,1,1,0,0,0,0,0,0,1,0,2,1,2,1,2,1,1,1,0,0,2,0
Tess James,1,Cardiac Nursing,80000,1,0,1,0,1,0,1,2,0,2,2,2,0,0,0,2,2,2,1,0,1,1,1,1,2,2,1,0,2,2,0,0,2,0,2,2,2,0,2,0,2,2
